payment_id,customer_id,staff_id,rental_id,amount,payment_date
1,1,1,76.0,2.99,2005-05-25T10:30:37.000Z
2,1,1,573.0,0.99,2005-05-28T09:35:23.000Z
3,1,1,1185.0,5.99,2005-06-14T23:54:12.000Z
4,1,2,1422.0,0.99,2005-06-15T17:02:53.000Z
5,1,2,1476.0,9.99,2005-06-15T20:08:46.000Z
6,1,1,1725.0,4.99,2005-06-16T14:18:57.000Z
7,1,1,2308.0,4.99,2005-06-18T07:41:48.000Z
8,1,2,2363.0,0.99,2005-06-18T12:33:59.000Z
9,1,1,3284.0,3.99,2005-06-21T05:24:45.000Z
10,1,2,4526.0,5.99,2005-07-08T02:17:05.000Z
11,1,1,4611.0,5.99,2005-07-08T06:33:56.000Z
12,1,1,5244.0,4.99,2005-07-09T12:24:07.000Z
13,1,1,5326.0,4.99,2005-07-09T15:38:01.000Z
14,1,1,6163.0,7.99,2005-07-11T09:13:46.000Z
15,1,2,7273.0,2.99,2005-07-27T10:31:22.000Z
16,1,1,7841.0,4.99,2005-07-28T08:04:45.000Z
17,1,2,8033.0,4.99,2005-07-28T15:18:23.000Z
18,1,1,8074.0,0.99,2005-07-28T16:33:39.000Z
19,1,2,8116.0,0.99,2005-07-28T18:20:07.000Z
20,1,2,8326.0,2.99,2005-07-29T02:58:49.000Z
21,1,2,9571.0,2.99,2005-07-31T01:42:18.000Z
22,1,2,10437.0,4.99,2005-08-01T07:51:04.000Z
23,1,2,11299.0,3.99,2005-08-02T14:36:52.000Z
24,1,1,11367.0,0.99,2005-08-02T17:01:38.000Z
25,1,2,11824.0,4.99,2005-08-17T11:37:54.000Z
26,1,1,12250.0,0.99,2005-08-18T02:57:29.000Z
27,1,2,13068.0,0.99,2005-08-19T08:55:16.000Z
28,1,2,13176.0,2.99,2005-08-19T12:56:54.000Z
29,1,1,14762.0,0.99,2005-08-21T22:33:57.000Z
30,1,1,14825.0,1.99,2005-08-22T00:27:57.000Z
31,1,2,15298.0,2.99,2005-08-22T18:41:37.000Z
32,1,1,15315.0,5.99,2005-08-22T19:03:46.000Z
33,2,1,320.0,4.99,2005-05-26T23:09:24.000Z
34,2,1,2128.0,2.99,2005-06-17T19:54:58.000Z
35,2,1,5636.0,2.99,2005-07-10T05:31:24.000Z
36,2,1,5755.0,6.99,2005-07-10T11:38:56.000Z
37,2,2,7346.0,4.99,2005-07-27T13:30:42.000Z
38,2,1,7376.0,5.99,2005-07-27T14:23:02.000Z
39,2,2,7459.0,5.99,2005-07-27T17:40:20.000Z
40,2,2,8230.0,5.99,2005-07-28T23:12:59.000Z
41,2,1,8598.0,2.99,2005-07-29T11:56:59.000Z
42,2,2,8705.0,5.99,2005-07-29T16:14:29.000Z
43,2,1,9031.0,4.99,2005-07-30T05:06:10.000Z
44,2,2,9236.0,10.99,2005-07-30T12:47:43.000Z
45,2,2,9248.0,0.99,2005-07-30T13:14:11.000Z
46,2,2,9296.0,6.99,2005-07-30T15:21:13.000Z
47,2,2,9465.0,6.99,2005-07-30T21:39:53.000Z
48,2,1,10136.0,2.99,2005-07-31T20:58:56.000Z
49,2,1,10466.0,0.99,2005-08-01T08:45:26.000Z
50,2,1,10918.0,0.99,2005-08-02T01:10:56.000Z
51,2,1,11087.0,5.99,2005-08-02T06:41:41.000Z
52,2,1,11177.0,6.99,2005-08-02T09:43:48.000Z
53,2,2,11256.0,2.99,2005-08-02T12:44:53.000Z
54,2,1,11614.0,2.99,2005-08-17T02:52:18.000Z
55,2,1,12963.0,2.99,2005-08-19T05:26:04.000Z
56,2,1,14475.0,4.99,2005-08-21T12:24:32.000Z
57,2,2,14743.0,5.99,2005-08-21T21:41:56.000Z
58,2,2,15145.0,4.99,2005-08-22T12:53:04.000Z
59,2,2,15907.0,4.99,2005-08-23T16:39:35.000Z
60,3,1,435.0,1.99,2005-05-27T16:17:09.000Z
61,3,1,830.0,2.99,2005-05-29T21:43:55.000Z
62,3,1,1546.0,8.99,2005-06-16T00:34:05.000Z
63,3,1,1726.0,6.99,2005-06-16T14:19:10.000Z
64,3,2,1911.0,6.99,2005-06-17T04:15:15.000Z
65,3,1,2628.0,2.99,2005-06-19T07:34:53.000Z
66,3,1,4180.0,4.99,2005-07-07T09:23:25.000Z
67,3,1,4725.0,4.99,2005-07-08T11:47:11.000Z
68,3,1,7096.0,5.99,2005-07-27T03:54:42.000Z
69,3,2,7503.0,10.99,2005-07-27T19:23:12.000Z
70,3,2,7703.0,7.99,2005-07-28T02:59:21.000Z
71,3,2,7724.0,6.99,2005-07-28T03:46:30.000Z
72,3,1,7911.0,4.99,2005-07-28T10:46:45.000Z
73,3,2,8086.0,4.99,2005-07-28T17:17:14.000Z
74,3,1,8545.0,2.99,2005-07-29T10:07:04.000Z
75,3,1,9226.0,1.99,2005-07-30T12:31:20.000Z
76,3,2,9443.0,3.99,2005-07-30T20:45:46.000Z
77,3,1,9595.0,2.99,2005-07-31T02:27:58.000Z
78,3,2,9816.0,4.99,2005-07-31T10:32:58.000Z
79,3,2,10597.0,5.99,2005-08-01T13:19:48.000Z
80,3,2,12556.0,4.99,2005-08-18T13:49:55.000Z
81,3,1,13403.0,8.99,2005-08-19T21:18:07.000Z
82,3,2,13610.0,2.99,2005-08-20T05:14:12.000Z
83,3,2,14699.0,8.99,2005-08-21T19:50:48.000Z
84,3,2,15038.0,0.99,2005-08-22T08:37:27.000Z
85,3,1,15619.0,2.99,2005-08-23T06:10:14.000Z
86,4,1,1297.0,4.99,2005-06-15T08:31:28.000Z
87,4,1,1633.0,0.99,2005-06-16T07:08:40.000Z
88,4,2,1707.0,2.99,2005-06-16T13:01:27.000Z
89,4,2,1735.0,0.99,2005-06-16T14:51:52.000Z
90,4,2,2043.0,0.99,2005-06-17T13:31:12.000Z
91,4,1,2642.0,5.99,2005-06-19T08:39:01.000Z
92,4,1,7660.0,2.99,2005-07-28T01:10:10.000Z
93,4,2,7718.0,2.99,2005-07-28T03:37:59.000Z
94,4,1,8741.0,3.99,2005-07-29T17:44:57.000Z
95,4,1,9100.0,5.99,2005-07-30T07:46:09.000Z
96,4,1,9371.0,5.99,2005-07-30T17:58:00.000Z
97,4,2,11069.0,0.99,2005-08-02T06:09:34.000Z
98,4,1,11110.0,2.99,2005-08-02T07:20:31.000Z
99,4,2,11529.0,4.99,2005-08-16T23:28:01.000Z
100,4,1,12151.0,2.99,2005-08-17T23:14:03.000Z
101,4,2,12294.0,8.99,2005-08-18T04:14:44.000Z
102,4,2,12856.0,1.99,2005-08-19T01:19:13.000Z
103,4,1,13704.0,2.99,2005-08-20T08:32:04.000Z
104,4,1,13807.0,6.99,2005-08-20T11:55:40.000Z
105,4,2,14225.0,4.99,2005-08-21T03:53:37.000Z
106,4,1,15147.0,2.99,2005-08-22T12:58:23.000Z
107,4,2,15635.0,1.99,2005-08-23T06:43:00.000Z
108,5,1,731.0,0.99,2005-05-29T06:25:16.000Z
109,5,1,1085.0,6.99,2005-05-31T10:15:43.000Z
110,5,1,1142.0,1.99,2005-05-31T18:46:38.000Z
111,5,1,1502.0,3.99,2005-06-15T21:03:14.000Z
112,5,2,1631.0,2.99,2005-06-16T07:01:02.000Z
113,5,2,2063.0,4.99,2005-06-17T14:56:53.000Z
114,5,2,2570.0,2.99,2005-06-19T03:20:13.000Z
115,5,2,3126.0,4.99,2005-06-20T17:38:22.000Z
116,5,2,3677.0,4.99,2005-07-06T08:11:58.000Z
117,5,2,4889.0,2.99,2005-07-08T19:04:43.000Z
118,5,1,5016.0,4.99,2005-07-09T00:57:57.000Z
