feature,shap_importance
Marital status_ Married-civ-spouse,1.0871663
Age,0.6839356
Capital-gain,0.62137425
Education-num,0.49608448
Hours-per-week,0.36277577
Capital-loss,0.18253401
Sex_ Female,0.15050964
Occupation_ Exec-managerial,0.13172238
Relationship_ Own-child,0.13047199
fnlwgt,0.12531091
Marital status_ Never-married,0.11273522
Occupation_ Prof-specialty,0.097301185
Occupation_ Other-service,0.09351808
Relationship_ Wife,0.08025057
Workclass_ Self-emp-not-inc,0.043125585
Occupation_ Sales,0.037539396
Occupation_ Farming-fishing,0.03692517
Occupation_ Handlers-cleaners,0.036215935
Relationship_ Not-in-family,0.035614714
Relationship_ Unmarried,0.033067495
Workclass_ Federal-gov,0.03103711
Race_ White,0.02946653
Occupation_ Machine-op-inspct,0.027757877
Relationship_ Other-relative,0.02464432
Relationship_ Husband,0.024225947
Marital status_ Widowed,0.023081247
Occupation_ Tech-support,0.022896271
Occupation_ Adm-clerical,0.022689719
Workclass_ Local-gov,0.020313153
Workclass_ Private,0.016965687
Occupation_ Protective-serv,0.014840832
Workclass_ Self-emp-inc,0.013538702
Native-country_ United-States,0.013498139
Occupation_ Transport-moving,0.011704109
Education_ Some-college,0.011489983
Occupation_ Craft-repair,0.0110163875
Native-country_ Mexico,0.009518057
Race_ Black,0.009064971
Workclass_ State-gov,0.008497956
Education_ Bachelors,0.00823272
Race_ Asian-Pac-Islander,0.007860644
Race_ Amer-Indian-Eskimo,0.0077412473
Education_ Prof-school,0.006220019
Education_ HS-grad,0.005751464
Marital status_ Married-AF-spouse,0.005607482
Occupation_ Priv-house-serv,0.005366249
Marital status_ Divorced,0.0049687885
Native-country_ Dominican-Republic,0.0037236004
Native-country_ India,0.0032816883
Native-country_ Puerto-Rico,0.0031631906
Marital status_ Separated,0.0031088747
Native-country_ Philippines,0.0029568477
Native-country_ Columbia,0.0026939348
Native-country_ South,0.0025001168
Native-country_ Italy,0.0023765827
Education_ Assoc-voc,0.0022452949
Education_ Masters,0.002055619
Education_ 11th,0.0020167208
Education_ Assoc-acdm,0.0020000092
Marital status_ Married-spouse-absent,0.0017749929
Native-country_ Canada,0.0014048764
Native-country_ Nicaragua,0.0012541105
Education_ 7th-8th,0.0011296724
Education_ 9th,0.0008912164
Education_ 5th-6th,0.0008424908
Native-country_ England,0.00080357573
Native-country_ China,0.00077890494
Race_ Other,0.0007598018
Native-country_ Vietnam,0.00074807095
Native-country_ Greece,0.0007073581
Native-country_ Germany,0.00069131504
Native-country_ Guatemala,0.00047523892
Native-country_ Cuba,0.00036332165
Education_ 1st-4th,0.00026907545
Native-country_ Jamaica,0.00023485454
Education_ 10th,0.00021133122
Native-country_ Ireland,0.00016415986
Native-country_ Iran,0.000117898824
Native-country_ Peru,4.0253028e-05
Native-country_ Trinadad&Tobago,3.868628e-05
Native-country_ Outlying-US(Guam-USVI-etc),0.0
Education_ Preschool,0.0
Native-country_ Scotland,0.0
Native-country_ Thailand,0.0
Native-country_ Portugal,0.0
Education_ Doctorate,0.0
Native-country_ Poland,0.0
Occupation_ Armed-Forces,0.0
Native-country_ Taiwan,0.0
Native-country_ Cambodia,0.0
Education_ 12th,0.0
Native-country_ Laos,0.0
Native-country_ Japan,0.0
Workclass_ Without-pay,0.0
Native-country_ Hungary,0.0
Native-country_ Hong,0.0
Native-country_ Honduras,0.0
Native-country_ Haiti,0.0
Native-country_ France,0.0
Native-country_ El-Salvador,0.0
Native-country_ Ecuador,0.0
Sex_ Male,0.0
Native-country_ Yugoslavia,0.0
