User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19.00,19000.00,0
15810944,Male,35.00,20000.00,0
15668575,Female,26.00,43000.00,0
15603246,Female,27.00,57000.00,0
15804002,Male,19.00,76000.00,0
15728773,Male,27.00,58000.00,0
15598044,Female,27.00,84000.00,0
15694829,Female,32.00,150000.00,1
15600575,Male,25.00,33000.00,0
15727311,Female,35.00,65000.00,0
15570769,Female,26.00,80000.00,0
15606274,Female,26.00,52000.00,0
15746139,Male,20.00,86000.00,0
15704987,Male,32.00,18000.00,0
15628972,Male,18.00,82000.00,0
15697686,Male,29.00,80000.00,0
15733883,Male,47.00,25000.00,1
15617482,Male,45.00,26000.00,1
15704583,Male,46.00,28000.00,1
15621083,Female,48.00,29000.00,1
15649487,Male,45.00,22000.00,1
15736760,Female,47.00,49000.00,1
15714658,Male,48.00,41000.00,1
15599081,Female,45.00,22000.00,1
15705113,Male,46.00,23000.00,1
15631159,Male,47.00,20000.00,1
15792818,Male,49.00,28000.00,1
15633531,Female,47.00,30000.00,1
15744529,Male,29.00,43000.00,0
15669656,Male,31.00,18000.00,0
15581198,Male,31.00,74000.00,0
15729054,Female,27.00,137000.00,1
15573452,Female,21.00,16000.00,0
15776733,Female,28.00,44000.00,0
15724858,Male,27.00,90000.00,0
15713144,Male,35.00,27000.00,0
15690188,Female,33.00,28000.00,0
15689425,Male,30.00,49000.00,0
15671766,Female,26.00,72000.00,0
15782806,Female,27.00,31000.00,0
15764419,Female,27.00,17000.00,0
15591915,Female,33.00,51000.00,0
15772798,Male,35.00,108000.00,0
15792008,Male,30.00,15000.00,0
15715541,Female,28.00,84000.00,0
15639277,Male,23.00,20000.00,0
15798850,Male,25.00,79000.00,0
15776348,Female,27.00,54000.00,0
15727696,Male,30.00,135000.00,1
15793813,Female,31.00,89000.00,0
15694395,Female,24.00,32000.00,0
15764195,Female,18.00,44000.00,0
15744919,Female,29.00,83000.00,0
15671655,Female,35.00,23000.00,0
15654901,Female,27.00,58000.00,0
15649136,Female,24.00,55000.00,0
15775562,Female,23.00,48000.00,0
